   missn_time ,   Vind_kias ,   Vind_keas ,   Vtrue_ktas ,   Vtrue_ktgs ,   Machratio ,   VVI_fpm ,   Gloadnorml ,   Gloadaxial ,   Gload_side ,   pitch_deg ,   roll_deg ,   hding_true ,   hding_mag ,   alpha_deg ,   beta_deg ,   hpath_deg ,   vpath_deg ,   slip_deg ,   altftmsl ,   altftagl ,   onrunwy ,   dist__ft ,   N1_1_pcnt ,   Ngear__lb ,   MLgear__lb ,   MRgear__lb ,   L/Dratio ,   cltotal ,   cdtotal,
27.74726,23.60967,25.31537,24.51785,0.01355,0.03821,-0.36622,0.99523,0.09518,0.0553,-0.05083,-1.20259,92.39888,68.66563,-2.55993,17.66177,180,-34.88825,0.00094,23.48815,0.62797,1,0.55115,76.55764,621.67853,3817.76172,3663.23022,1.77603,0.6697,0.37708, 
27.82983,22.76818,24.40593,23.63705,0.13704,0.03684,-0.47341,0.99236,0.10651,0.04077,-0.03063,-1.20038,92.37865,68.6454,-3.82657,17.50656,108.18797,-9.62533,0.00097,23.48547,0.62514,1,0.56156,77.40786,618.25458,3846.61401,3695.82129,1.48624,0.5731,0.3856, 
27.93745,21.82138,23.47501,22.73546,0.36207,0.03543,-0.72165,0.99619,0.10742,0.02558,0.00798,-1.1707,92.28109,68.54784,-5.75758,16.85396,103.16404,-5.28633,0.00166,23.47991,0.61932,1,0.61108,78.54955,610.49866,3872.3689,3813.427,1.09003,0.42257,0.38767, 
28.03555,21.18213,22.78779,22.06989,0.56362,0.0344,-0.99161,1.00089,0.1082,0.01564,0.05084,-1.12825,92.13094,68.39769,-7.45573,15.95322,100.02209,-3.47,0.00314,23.47402,0.61312,1,0.69106,79.61516,592.09692,3886.59839,3937.52075,0.74356,0.28739,0.3865, 
28.13141,20.77851,22.33581,21.63215,0.76125,0.03371,-1.21203,1.00501,0.11046,0.00763,0.0932,-1.09204,91.93393,68.20068,-8.78954,14.84407,97.39497,-2.06393,0.00482,23.46882,0.60754,1,0.8014,80.70212,568.19153,3906.73511,4036.43359,0.45538,0.17341,0.3808, 
28.21943,20.53492,22.07553,21.38006,0.94932,0.03332,-1.32822,1.00652,0.1175,0.00264,0.12605,-1.07415,91.71367,67.98042,-9.65188,13.76553,95.31234,-1.03352,0.00597,23.46541,0.60357,1,0.9318,81.74547,547.66956,3927.28613,4087.14526,0.26102,0.09709,0.37197, 
28.32094,20.47507,21.96854,21.27644,1.19049,0.03316,-1.33336,1.00636,0.13263,-0.00034,0.15177,-1.0775,91.41727,67.68402,-10.1909,12.4666,93.29781,-0.18711,0.00617,23.4635,0.60111,1,1.11884,82.97172,526.95154,3959.21997,4095.71997,0.14672,0.05252,0.35795, 
28.40283,20.52296,21.98284,21.29029,1.40968,0.03318,-1.24576,1.00601,0.14688,-0.0002,0.1606,-1.09585,91.14599,67.41273,-10.27559,11.43182,92.07414,0.24626,0.00584,23.46352,0.60066,1,1.30212,83.98124,521.59619,3986.40967,4073.54468,0.13678,0.04721,0.34515, 
28.51012,20.78441,22.14833,21.45057,1.74007,0.03343,-1.03666,1.00402,0.17373,0.00176,0.15644,-1.13386,90.74935,67.01609,-9.92694,10.12827,90.97127,0.52668,0.00647,23.46527,0.60173,1,1.59251,85.31091,522.19885,4017.12305,4011.04321,0.23753,0.07751,0.3263, 
28.60759,21.14153,22.44383,21.73676,2.08817,0.03388,-0.79132,1.00214,0.19854,0.00277,0.14016,-1.17195,90.35156,66.6183,-9.28589,8.99259,90.23208,0.59654,0.00845,23.46802,0.60376,1,1.91251,86.46117,529.87219,4034.09839,3942.78564,0.43623,0.13483,0.30908, 
